epoch,step,train_dsc,train_loss,val_dsc,val_loss
0,49,0.12885460257530212,1.3753418922424316,,
0,49,,,0.10408257693052292,1.3673149347305298
1,99,0.18971377611160278,0.9198076725006104,,
1,99,,,0.19930440187454224,0.9157059788703918
2,149,0.30163684487342834,0.7676658630371094,,
2,149,,,0.2806166112422943,0.7744050025939941
3,199,0.3288405239582062,0.726483166217804,,
3,199,,,0.37496018409729004,0.7238172292709351
4,249,0.5596255660057068,0.6122412085533142,,
4,249,,,0.5395888090133667,0.6433674693107605
